REG_NO,BRANCH,TOTAL,TOTAL_DSC
139105001,CSE,TOTAL,Total Students
139105002,CSE,TOTAL,Total Students
139105004,CSE,TOTAL,Total Students
139105005,CSE,TOTAL,Total Students
139105014,CSE,TOTAL,Total Students
139105016,CSE,TOTAL,Total Students
139105020,CSE,TOTAL,Total Students
139105022,CSE,TOTAL,Total Students
139105034,CSE,TOTAL,Total Students
139105038,CSE,TOTAL,Total Students
139105042,CSE,TOTAL,Total Students
139105058,CSE,TOTAL,Total Students
139105064,CSE,TOTAL,Total Students
139105066,CSE,TOTAL,Total Students
139105068,CSE,TOTAL,Total Students
139105070,CSE,TOTAL,Total Students
139105074,CSE,TOTAL,Total Students
139105076,CSE,TOTAL,Total Students
139105082,CSE,TOTAL,Total Students
139105086,CSE,TOTAL,Total Students
139105088,CSE,TOTAL,Total Students
139105090,CSE,TOTAL,Total Students
139105096,CSE,TOTAL,Total Students
139105102,CSE,TOTAL,Total Students
139105112,CSE,TOTAL,Total Students
139105114,CSE,TOTAL,Total Students
139105116,CSE,TOTAL,Total Students
139105118,CSE,TOTAL,Total Students
139105138,CSE,TOTAL,Total Students
139105142,CSE,TOTAL,Total Students
139105144,CSE,TOTAL,Total Students
139105146,CSE,TOTAL,Total Students
139105150,CSE,TOTAL,Total Students
139105154,CSE,TOTAL,Total Students
139105162,CSE,TOTAL,Total Students
139105170,CSE,TOTAL,Total Students
139105172,CSE,TOTAL,Total Students
139105180,CSE,TOTAL,Total Students
139105190,CSE,TOTAL,Total Students
139105194,CSE,TOTAL,Total Students
139105198,CSE,TOTAL,Total Students
139105204,CSE,TOTAL,Total Students
139105212,CSE,TOTAL,Total Students
139105214,CSE,TOTAL,Total Students
139105216,CSE,TOTAL,Total Students
139105220,CSE,TOTAL,Total Students
139105238,CSE,TOTAL,Total Students
139105240,CSE,TOTAL,Total Students
139105246,CSE,TOTAL,Total Students
139105248,CSE,TOTAL,Total Students
139105250,CSE,TOTAL,Total Students
139105252,CSE,TOTAL,Total Students
139105254,CSE,TOTAL,Total Students
139105256,CSE,TOTAL,Total Students
139105260,CSE,TOTAL,Total Students
139105264,CSE,TOTAL,Total Students
139105266,CSE,TOTAL,Total Students
139105270,CSE,TOTAL,Total Students
139105276,CSE,TOTAL,Total Students
139105278,CSE,TOTAL,Total Students
139105280,CSE,TOTAL,Total Students
139105284,CSE,TOTAL,Total Students
139105286,CSE,TOTAL,Total Students
139105288,CSE,TOTAL,Total Students
139105290,CSE,TOTAL,Total Students
139105294,CSE,TOTAL,Total Students
139105296,CSE,TOTAL,Total Students
139105302,CSE,TOTAL,Total Students
139105304,CSE,TOTAL,Total Students
139105308,CSE,TOTAL,Total Students
139105312,CSE,TOTAL,Total Students
139105316,CSE,TOTAL,Total Students
139105318,CSE,TOTAL,Total Students
139105320,CSE,TOTAL,Total Students
139105322,CSE,TOTAL,Total Students
139105324,CSE,TOTAL,Total Students
139105326,CSE,TOTAL,Total Students
139105328,CSE,TOTAL,Total Students
139105332,CSE,TOTAL,Total Students
139105334,CSE,TOTAL,Total Students
139105336,CSE,TOTAL,Total Students
139105338,CSE,TOTAL,Total Students
139105340,CSE,TOTAL,Total Students
139105342,CSE,TOTAL,Total Students
139105344,CSE,TOTAL,Total Students
139105346,CSE,TOTAL,Total Students
139105348,CSE,TOTAL,Total Students
139105350,CSE,TOTAL,Total Students
139105354,CSE,TOTAL,Total Students
139105358,CSE,TOTAL,Total Students
139105360,CSE,TOTAL,Total Students
139105364,CSE,TOTAL,Total Students
139105366,CSE,TOTAL,Total Students
139105368,CSE,TOTAL,Total Students
139105370,CSE,TOTAL,Total Students
139105374,CSE,TOTAL,Total Students
139105376,CSE,TOTAL,Total Students
139105378,CSE,TOTAL,Total Students
139105380,CSE,TOTAL,Total Students
139105386,CSE,TOTAL,Total Students
139105390,CSE,TOTAL,Total Students
139105392,CSE,TOTAL,Total Students
139105394,CSE,TOTAL,Total Students
139105396,CSE,TOTAL,Total Students
139105398,CSE,TOTAL,Total Students
139105400,CSE,TOTAL,Total Students
139105404,CSE,TOTAL,Total Students
139105405,CSE,TOTAL,Total Students
139105406,CSE,TOTAL,Total Students
139105407,CSE,TOTAL,Total Students
139105408,CSE,TOTAL,Total Students
139105409,CSE,TOTAL,Total Students
139105410,CSE,TOTAL,Total Students
139105411,CSE,TOTAL,Total Students
139105412,CSE,TOTAL,Total Students
139105413,CSE,TOTAL,Total Students
139105414,CSE,TOTAL,Total Students
139105415,CSE,TOTAL,Total Students
